Width,Height
1920,869
1307,595,1736277613567
1317,595,1736277613575
1322,596,1736277613581
1323,596,1736277613588
1323,597,1736277613595
1322,598,1736277613612
1320,598,1736277613619
1316,599,1736277613627
1307,602,1736277613641
1298,603,1736277613648
1291,605,1736277613654
1278,606,1736277613660
1268,608,1736277613666
1261,608,1736277613673
1258,608,1736277613681
1256,608,1736277613689
1255,608,1736277613697
1255,607,1736277613705
1255,605,1736277613713
1257,603,1736277613719
1262,600,1736277613727
1266,598,1736277613735
1272,597,1736277613743
1277,596,1736277613751
1290,595,1736277613759
1300,595,1736277613767
1303,595,1736277613775
1308,597,1736277613783
1311,601,1736277613790
1311,603,1736277613797
1311,605,1736277613812
1309,608,1736277613818
1306,610,1736277613824
1302,612,1736277613831
1291,613,1736277613839
1282,613,1736277613847
1272,613,1736277613854
1267,612,1736277613861
1255,608,1736277613869
1248,603,1736277613877
1245,601,1736277613885
1244,599,1736277613893
1244,597,1736277613901
1246,595,1736277613909
1251,593,1736277613917
1257,590,1736277613923
1270,588,1736277613932
1282,587,1736277613944
1304,587,1736277613951
1326,587,1736277613958
1341,590,1736277613964
1348,593,1736277613974
1352,597,1736277613981
1354,601,1736277613988
1354,605,1736277613995
1353,608,1736277614002
1350,613,1736277614011
1343,617,1736277614017
1335,621,1736277614025
1326,622,1736277614035
1313,624,1736277614041
1301,624,1736277614049
1288,624,1736277614057
1283,621,1736277614065
1273,617,1736277614073
1265,613,1736277614081
1262,607,1736277614089
1260,601,1736277614097
1260,594,1736277614104
1265,581,1736277614111
1270,575,1736277614120
1275,572,1736277614128
1279,571,1736277614138
1285,569,1736277614146
1292,569,1736277614153
1299,569,1736277614160
1307,571,1736277614167
1314,574,1736277614174
1316,576,1736277614187
1317,578,1736277614195
1317,581,1736277614202
